t,ev1,ev2,ev3
92.50,0.322,0.329,0.325
93.00,0.323,0.306,0.332
93.50,0.322,0.330,0.322
94.00,0.302,0.306,0.314
94.50,0.303,0.326,0.338
95.00,0.330,0.325,0.349
95.50,0.299,0.322,0.319
96.00,0.324,0.334,0.343
96.50,0.322,0.326,0.333
97.00,0.307,0.320,0.342
97.50,0.331,0.317,0.361
98.00,0.307,0.320,0.343
98.50,0.323,0.340,0.356
99.00,0.338,0.354,0.347
99.50,0.343,0.338,0.333
100.00,0.315,0.329,0.350
100.50,0.327,0.349,0.362
101.00,0.359,0.330,0.377
101.50,0.317,0.367,0.380
102.00,0.336,0.365,0.358
102.50,0.347,0.369,0.381
103.00,0.336,0.340,0.382
103.50,0.352,0.374,0.350
104.00,0.366,0.341,0.348
104.50,0.340,0.379,0.361
105.00,0.349,0.350,0.347
105.50,0.351,0.362,0.362
106.00,0.366,0.354,0.394
106.50,0.377,0.369,0.354
107.00,0.362,0.372,0.382
107.50,0.357,0.379,0.400
108.00,0.371,0.347,0.384
108.50,0.369,0.374,0.400
109.00,0.343,0.350,0.391
109.50,0.347,0.357,0.398
110.00,0.362,0.394,0.398
110.50,0.378,0.371,0.366
111.00,0.394,0.397,0.407
111.50,0.374,0.370,0.395
112.00,0.370,0.368,0.372
112.50,0.371,0.367,0.381
113.00,0.401,0.406,0.412
113.50,0.380,0.400,0.379
114.00,0.386,0.411,0.410
114.50,0.406,0.397,0.389
115.00,0.361,0.381,0.416
115.50,0.387,0.399,0.416
116.00,0.378,0.378,0.422
116.50,0.394,0.374,0.414
117.00,0.401,0.411,0.389
117.50,0.381,0.410,0.416
118.00,0.386,0.424,0.400
118.50,0.414,0.386,0.409
119.00,0.421,0.414,0.425
119.50,0.417,0.413,0.417
120.00,0.415,0.410,0.438
